state,num
Alabama,1270
Indiana,796
Minnesota,1922
South Carolina,1149
Louisiana,984
California,23128
New Mexico,389
New Hampshire,563
Connecticut,709
Oklahoma,822
Nevada,1930
Maryland,1343
Idaho,111
Ohio,4308
Delaware,99
Florida,7009
Maine,287
Illinois,5547
Montana,188
Texas,8011
Oregon,1724
Rhode Island,238
Mississippi,279
Kansas,643
New Jersey,1071
Wisconsin,1247
Pennsylvania,3616
Tennessee,1161
New York,8562
Georgia,4001
Vermont,179
Colorado,2190
Arkansas,538
Washington,3314
North Dakota,92
"",100
Virginia,1972
Wyoming,48
West Virginia,398
Missouri,1648
Iowa,528
District of Columbia,1642
South Dakota,155
Arizona,2344
Utah,708
North Carolina,2857
Kentucky,880
Nebraska,382
Massachusetts,3101
Michigan,2238
